Bankrupt, ROA(B) before interest and depreciation after tax, Total debt/Total net worth, Debt ratio %, Retained Earnings to Total Assets
0,0.56651855,0.005186077,0.106992774,0.941017143
0,0.578296483,0.009016132,0.147020588,0.936060036
0,0.635205311,0.006611404,0.124134595,0.944833429
0,0.626050645,0.006760047,0.125736917,0.944987423
0,0.508378393,0.041494086,0.243583154,0.918867828
0,0.546763745,0.007307198,0.131450857,0.940463964
0,0.602815997,0.004401827,0.096018381,0.948469003
0,0.53787676,0.005958471,0.116697403,0.936282583
0,0.533165587,0.008541023,0.142999667,0.938376757
0,0.56218213,0.007715737,0.135441545,0.939085479
0,0.692649499,0.001879463,0.050276627,0.991116694
0,0.475667862,0.023159066,0.212866947,0.923193682
1,0.531452433,0.032987716,0.232638994,0.883764848
0,0.505648054,0.009849625,0.153581038,0.921761582
0,0.543016221,0.008570204,0.143241527,0.934067168
0,0.55158199,0.008666867,0.144057805,0.933669866
0,0.548369827,0.006280378,0.120446232,0.936072802
0,0.5340757,0.010048423,0.155092663,0.932486915
0,0.562931634,0.005362989,0.109290444,0.9394791
0,0.556560844,0.007818784,0.136439218,0.945751279
0,0.517640131,0.014813194,0.183360039,0.918945316
0,0.550618341,0.02322746,0.213048342,0.932249857
0,0.540232346,0.005145952,0.10644859,0.943074728
0,0.571122651,0.005074823,0.105511383,0.94087023
0,0.565822582,0.013231016,0.175287964,0.907612005
0,0.618555597,0.007364649,0.132025274,0.965375679
0,0.546388993,0.007487758,0.133234574,0.935350358
0,0.61566465,0.00261538,0.065634731,0.948799801
0,0.515284544,0.008618536,0.143664782,0.922340416
0,0.566625622,0.006967052,0.127943889,0.936764954
0,0.5563467,0.008461686,0.14230432,0.939598982
0,0.543283902,0.005132274,0.106267195,0.932827353
0,0.5340757,0.003361329,0.079390513,0.946359255
0,0.416938808,0.028446366,0.224778547,0.88665662
0,0.578992451,0.004994574,0.104423013,0.940047402
0,0.56244981,0.006058782,0.11787647,0.940730909
0,0.578885379,0.006714451,0.125253197,0.933910755
0,0.540553563,0.002795028,0.069111467,0.937211786
0,0.58552385,0.008486308,0.142515948,0.934357159
0,0.555918411,0.008613064,0.143604317,0.924914425
0,0.561486161,0.00801667,0.138283399,0.941054666
0,0.55158199,0.010259988,0.156634519,0.9306562
0,0.523957385,0.009691863,0.152401971,0.928392751
0,0.637346753,0.004676315,0.10000907,0.949227102
0,0.53991113,0.006275819,0.120385767,0.933704238
0,0.610471653,0.004496667,0.097409076,0.946110117
0,0.646394347,0.002370986,0.060767301,0.948156912
0,0.605278655,0.003125142,0.075188197,0.944045877
0,0.547727394,0.002018986,0.053360341,0.918461684
0,0.728839874,0.00106968,0.03086737,1
0,0.474757749,0.009226785,0.14874384,0.927791301
0,0.572675197,0.005543549,0.111588113,0.934082646
0,0.539215161,0.006087964,0.118209027,0.933037079
0,0.502703571,0.002858862,0.070290534,0.929908262
0,0.533593875,0.007791426,0.136167125,0.925562167
0,0.632849724,0.001538405,0.042476645,0.992217535
0,0.551474918,0.002960085,0.072195181,0.94158103
0,0.599871513,0.007610866,0.134443873,0.938583792
0,0.630387066,0.0018211,0.04897663,0.948691228
0,0.537555544,0.00433161,0.094990477,0.951807608
0,0.576315649,0.002647298,0.066269613,0.959163545
0,0.516141121,0.005920171,0.116213683,0.934188186
0,0.541249532,0.006606845,0.12407413,0.931577703
0,0.550136517,0.002237846,0.058016144,0.931778174
0,0.518175491,0.004783921,0.101520694,0.923463109
0,0.555597195,0.006588606,0.123892735,0.944547978
0,0.524064457,0.003228189,0.077032379,0.937339006
0,0.541891964,0.01485879,0.183571666,0.935847945
0,0.542213181,0.00408904,0.091302113,0.928445696
0,0.472723379,0.010461522,0.158085679,0.9131374
0,0.611114085,0.001436271,0.040027814,0.944344655
0,0.525028106,0.006472793,0.122622971,0.938233789
0,0.55458001,0.012187782,0.169332164,0.93871626
0,0.530649392,0.007649167,0.134806663,0.938761233
0,0.53991113,0.007185913,0.130211325,0.935256306
0,0.481985117,0.010349356,0.157269402,0.915910965
0,0.653996467,0.001903173,0.050820812,0.953707526
0,0.340435784,0.028273101,0.22444599,0.895607319
0,0.64987419,0.004889704,0.102971854,0.952579862
0,0.621553616,0.003457993,0.081023067,0.95345933
0,0.538197976,0.004932564,0.103576503,0.942828956
0,0.518175491,0.004990014,0.104362548,0.928083596
0,0.572139836,0.013426167,0.176346102,0.940960989
0,0.652283313,0.002027193,0.053511503,0.949638205
1,0.517640131,0.01318998,0.175076337,0.932464314
0,0.552706248,0.007845229,0.136681077,0.941461367
0,0.555971947,0.011197439,0.163104272,0.939541515
0,0.583596552,0.003522739,0.082141669,0.948963486
0,0.694898014,0.001099773,0.031623182,0.996616294
0,0.607313025,0.001943297,0.051697554,0.943603483
0,0.518229027,0.004043444,0.090576534,0.928146189
0,0.665399647,0.001443566,0.040209209,0.976918257
0,0.535092885,0.004472957,0.097076518,0.930940914
0,0.524492746,0.020124203,0.204069293,0.936105469
0,0.523422025,0.007349146,0.131874112,0.934508615
0,0.525081642,0.007555239,0.133899689,0.933778021
0,0.546496065,0.001696167,0.046134776,0.942996562
0,0.531238289,0.002277971,0.058832421,0.934489055
0,0.510626907,0.008237354,0.140308976,0.920726463
0,0.622517265,0.005590056,0.112192762,0.944518128
0,0.582365223,0.004674491,0.099978837,0.945599248
0,0.620589967,0.001863048,0.049913837,0.940832429
1,0.435676428,0.00989978,0.153974061,0.901144134
0,0.608116066,0.002963733,0.072255646,0.952158507
0,0.773542481,0.004882408,0.102881156,0.982770082
0,0.6972536,0.001589473,0.043655712,0.995601718
0,0.492371112,0.012589938,0.171690298,0.879575136
0,0.521708871,0.008298452,0.140853161,0.905369737
0,0.522993736,0.016586874,0.191220486,0.931930881
0,0.59312597,0.005805269,0.114853221,0.952813241
0,0.552706248,0.01203002,0.168394957,0.928960131
1,0.523850313,0.017898212,0.196390241,0.931547845
0,0.530488784,0.005211611,0.107325332,0.9370609
0,0.513196638,0.004513993,0.097681168,0.921406832
0,0.580759141,0.00624299,0.120022977,0.945723916
0,0.552492103,0.004534967,0.097983493,0.939510632
1,0.492638792,0.01449767,0.181848414,0.918323291
0,0.568659993,0.007468607,0.133053179,0.950892719
0,0.577332834,0.009364484,0.14983221,0.941272132
0,0.538251512,0.005048377,0.105148593,0.936578649
0,0.592162321,0.004882408,0.102881156,0.953630639
0,0.519032068,0.008674163,0.144148502,0.917236729
0,0.566786231,0.006824793,0.126432264,0.932346043
0,0.575298464,0.009761169,0.152915923,0.948597248
0,0.510573371,0.005765145,0.114339269,0.927857045
0,0.568071096,0.006991674,0.128215981,0.942488615
0,0.513464318,0.007923654,0.137406657,0.924374113
0,0.531024145,0.006279466,0.120415999,0.935486431
0,0.531505969,0.005687632,0.113402062,0.935503879
0,0.516944162,0.014823225,0.183420504,0.931492791
0,0.570962043,0.00597215,0.116848565,0.952175721
1,0.5118047,0.011874082,0.167427518,0.935812787
0,0.537662616,0.005107652,0.10596487,0.938218497
0,0.506344023,0.01734103,0.194243734,0.928464991
0,0.534878741,0.004000584,0.089911419,0.931090729
1,0.519513893,0.018816513,0.199685582,0.930573974
0,0.624551636,0.004059858,0.090848626,0.959222466
0,0.543819262,0.002723899,0.067751005,0.939622035
0,0.556293163,0.006197394,0.119478792,0.943877756
0,0.541784892,0.006259404,0.120204372,0.937260918
0,0.524546282,0.009022515,0.147050821,0.90891669
0,0.495101451,0.003336707,0.078937026,0.925306179
0,0.572621661,0.004281454,0.094234665,0.953453877
0,0.563841747,0.008313955,0.140974091,0.938581753
0,0.538305048,0.00733182,0.131692717,0.942158204
0,0.516087585,0.013238311,0.175348429,0.932628084
0,0.514856256,0.000790633,0.023460411,0.932510254
0,0.54927994,0.010283698,0.156815914,0.93415689
0,0.556293163,0.005218906,0.107416029,0.933468273
0,0.536324214,0.013027658,0.174169362,0.932719742
0,0.496761069,0.011171906,0.162922877,0.928611221
0,0.646608491,0.008282038,0.140701998,0.961535899
0,0.547941539,0.009767552,0.152976388,0.946229419
0,0.702874886,0.00152655,0.042174321,0.954191959
0,0.522137159,0.008582971,0.143362457,0.9361577
0,0.534503988,0.005786119,0.114611361,0.937585507
0,0.562878098,0.007001705,0.128306678,0.950868887
0,0.516408801,0.009017044,0.147020588,0.890711317
0,0.562503346,0.00723698,0.130725277,0.931846006
0,0.605385727,0.001181846,0.033739456,0.945916285
1,0.561486161,0.014907121,0.183813526,0.93508567
0,0.527651373,0.007298079,0.13136016,0.936786161
0,0.582847047,0.008800007,0.145206639,0.948300269
0,0.551528454,0.005590968,0.112192762,0.93586315
0,0.54397987,0.014850582,0.183541434,0.931418021
0,0.603511965,0.006187363,0.119357862,0.953938206
0,0.557096204,0.006730866,0.125434592,0.941395499
0,0.505808662,0.011727264,0.166520543,0.926508907
0,0.531291825,0.006628731,0.124346222,0.932091627
0,0.525456395,0.00433161,0.094990477,0.941754589
0,0.49809947,0.004710056,0.10049279,0.879510242
0,0.584399593,0.003064956,0.07413006,0.956321306
0,0.57561968,0.013952343,0.179097258,0.948558727
0,0.482359869,0.004136459,0.092027693,0.917718678
0,0.573424702,0.003291112,0.078150981,0.943121739
0,0.531827186,0.009646267,0.152039181,0.930202813
0,0.543337438,0.008759883,0.144874082,0.932800621
0,0.518550244,0.012218787,0.169513559,0.932182312
0,0.54697789,0.006213808,0.119660187,0.929316021
0,0.543390974,0.006196482,0.119478792,0.936503551
0,0.635472991,0.001325929,0.037337122,0.951723909
0,0.544247551,0.009321624,0.149499652,0.880765814
0,0.531505969,0.008778121,0.145025244,0.945141314
0,0.581133894,0.006245725,0.120053209,0.944027293
0,0.613255528,0.001740851,0.047162681,0.942800468
1,0.499277263,0.018061445,0.196994891,0.920655754
0,0.540392955,0.023963377,0.214922756,0.93660553
1,0.505594518,0.022234381,0.21035765,0.920882488
1,0.472295091,0.021247686,0.207515796,0.909903362
0,0.53637775,0.011438186,0.164676361,0.917886561
0,0.682102896,0.009255054,0.148955468,0.960938384
0,0.54574656,0.005209787,0.107295099,0.93717918
0,0.533433267,0.009307034,0.149378722,0.93260208
0,0.548476899,0.006066078,0.117967168,0.9381352
0,0.540714171,0.008687841,0.144239199,0.931901681
0,0.599443225,0.001314074,0.037034798,0.942989941
0,0.668933026,0.005293683,0.108383469,0.966181424
0,0.531666577,0.008297541,0.140822928,0.946993423
0,0.516355265,0.011551263,0.165401941,0.932408659
0,0.512393597,0.01021348,0.156301962,0.929975123
0,0.556667916,0.005629269,0.112676482,0.93955191
0,0.56828524,0.006360627,0.121353206,0.937286468
0,0.602120028,0.005284564,0.108292771,0.950547859
0,0.593340115,0.002096499,0.055023128,0.935303129
0,0.546174849,0.007868027,0.136892705,0.933438641
0,0.522351304,0.009610702,0.151767089,0.932801254
0,0.556507308,0.000830757,0.024518548,0.946551134
0,0.497778254,0.022859045,0.21205067,0.926982435
0,0.614754537,0.005388523,0.109623001,0.94970034
0,0.786284062,0.00237281,0.060797533,0.993511301
0,0.536002998,0.01121659,0.163225202,0.93454014
0,0.623213234,0.000989431,0.028781328,0.949156656
0,0.536645431,0.005041082,0.105057895,0.934103064
0,0.607848386,0.006364275,0.121383439,0.937171256
0,0.574923711,0.005612854,0.112464855,0.939296377
0,0.589485518,0.007029063,0.128609003,0.933584456
0,0.523582633,0.004562325,0.098376515,0.931421081
0,0.569891322,0.001167255,0.033346434,0.940372153
0,0.570159002,0.007177705,0.130120628,0.930177808
0,0.693559612,0.010078516,0.15530429,0.958573531
0,0.543283902,0.010263635,0.156664752,0.936262247
0,0.540553563,0.006916897,0.127429936,0.935700239
0,0.485464961,0.011923326,0.167729842,0.923350616
0,0.556774988,0.00970463,0.152492669,0.938044954
0,0.469885968,0.02082638,0.206246032,0.912191758
0,0.524332138,0.005563611,0.111860205,0.933303016
0,0.49809947,0.012451326,0.170904254,0.926844786
0,0.556186091,0.005895549,0.115941591,0.941600535
0,0.527597837,0.005673041,0.113220667,0.933824067
0,0.610525189,0.007050037,0.128820631,0.944756225
0,0.536698967,0.00504473,0.10511836,0.936107319
1,0.512125917,0.015686811,0.18738096,0.924882104
0,0.624176883,0.0055016,0.11107416,0.940208824
0,0.562289202,0.001686136,0.045923149,0.943081686
0,0.49049735,0.005281828,0.108262539,0.927396968
0,0.503453076,0.00961435,0.151797321,0.927976029
0,0.521387655,0.011831222,0.167155425,0.934187962
0,0.542748541,0.006688917,0.124981105,0.947704687
1,0.492317576,0.016202956,0.189618164,0.90837685
0,0.533004979,0.00190682,0.050881277,0.935628413
0,0.590930992,0.009793998,0.153188016,0.952325679
0,0.553669897,0.006465498,0.122532273,0.934504609
0,0.60576048,0.007373768,0.132115972,0.937491381
0,0.521280582,0.007274369,0.1311183,0.933644724
0,0.598104824,0.005347486,0.109109049,0.954086542
0,0.570747899,0.004192086,0.092874203,0.944297901
0,0.531505969,0.008625831,0.143725247,0.937401254
0,0.608383746,0.002469474,0.062762645,0.949103481
0,0.541088923,0.018766358,0.199504187,0.937005328
0,0.533700948,0.007572566,0.134081084,0.933672185
0,0.51737245,0.0075981,0.134322943,0.932506983
0,0.536484823,0.009545956,0.151253137,0.929182324
0,0.525081642,0.01698903,0.19285304,0.938366503
0,0.580009636,0.007650079,0.134806663,0.946830217
0,0.54344451,0.010929335,0.161320555,0.927800753
0,0.571283259,0.009338951,0.149620582,0.944164217
0,0.687135286,0.002741225,0.068083563,0.970181388
0,0.595535093,0.010077604,0.15530429,0.94276042
0,0.563841747,0.017333735,0.194213502,0.939602649
0,0.532469618,0.008354991,0.141336881,0.93740208
0,0.528989775,0.008812774,0.145297337,0.93318209
0,0.523207881,0.011941564,0.167850772,0.931895576
0,0.516194657,0.019432969,0.201801856,0.930944555
0,0.49986616,0.017125817,0.193397225,0.929670799
0,0.568981209,0.01203458,0.168394957,0.943594035
0,0.596766422,0.004458366,0.096864891,0.94628379
0,0.532362546,0.004319755,0.094809082,0.934845169
0,0.536163606,0.013141648,0.174804245,0.931121705
0,0.550297125,0.015306541,0.185657708,0.938594964
1,0.519032068,0.014123784,0.179974,0.935359765
0,0.53380802,0.018682461,0.199232095,0.939231285
0,0.561753841,0.007749478,0.135774103,0.946189661
0,0.523582633,0.017012739,0.192943737,0.933936818
0,0.551474918,0.026006073,0.219729722,0.937630313
0,0.538840409,0.010696796,0.159718233,0.931377437
0,0.500294448,0.007671965,0.135018291,0.930627066
0,0.526901868,0.003153412,0.075732382,0.932370936
0,0.50977033,0.013825587,0.178462376,0.930621986
0,0.492585256,0.004669019,0.09988814,0.931737492
0,0.550886022,0.011388942,0.164343804,0.935572598
0,0.499223727,0.015519018,0.186625147,0.932141386
0,0.55838107,0.011604155,0.165734498,0.933608576
0,0.591305744,0.012875368,0.173322853,0.942964379
0,0.594036083,0.002227815,0.057804517,0.938832428
0,0.522779592,0.013553835,0.177041449,0.930070664
0,0.54778093,0.002404727,0.061432415,0.938638268
0,0.512125917,0.00646641,0.122532273,0.931409543
0,0.557952781,0.00597671,0.11690903,0.947138659
0,0.527116013,0.004780273,0.101460229,0.937591104
0,0.530114032,0.006004979,0.117241588,0.930250615
0,0.524010921,0.009136505,0.147988028,0.932499307
0,0.501846994,0.001050529,0.03038365,0.930005383
0,0.526955404,0.007281664,0.131178765,0.933504261
0,0.510305691,0.021648018,0.208694864,0.912679465
0,0.532523154,0.016697216,0.191673973,0.932171787
0,0.494084266,0.006379777,0.121564834,0.931402334
0,0.512447133,0.012233378,0.169604257,0.930222314
0,0.523743241,0.004158345,0.09236025,0.933756815
0,0.58932491,0.005934761,0.116395078,0.948759808
0,0.51560576,0.007834286,0.13659038,0.931275636
0,0.587504684,0.005084854,0.105632312,0.944164234
0,0.538037368,0.013950519,0.179097258,0.934800567
1,0.498527758,0.016400843,0.190464673,0.922436162
0,0.499812624,0.017779662,0.195936754,0.927251251
0,0.574548959,0.006314119,0.120839254,0.950298647
0,0.558220461,0.00719412,0.130302023,0.937265165
0,0.525884683,0.005648419,0.112918342,0.934936008
0,0.52443921,0.014395535,0.181334462,0.93008165
0,0.541195996,0.004203941,0.093055598,0.94164027
0,0.534236308,0.001034115,0.029930163,0.935657966
0,0.541517212,0.007262514,0.13099737,0.937243573
0,0.521548263,0.004048915,0.090667231,0.94757537
0,0.698966754,0.008913997,0.146174079,0.958122189
1,0.53257669,0.01519164,0.185143755,0.933906541
0,0.600032122,0.003092313,0.07461378,0.944182547
0,0.542909149,0.013739866,0.178008888,0.940149431
0,0.60752717,0.005132274,0.106267195,0.949378235
0,0.564698324,0.021286898,0.207636726,0.939797646
0,0.675196745,0.000509762,0.015539499,0.98051784
0,0.561593233,0.015284655,0.18556701,0.938255115
0,0.572193372,0.014195825,0.18033679,0.941553046
0,0.542159645,0.015436945,0.186262358,0.935156491
0,0.46008887,0.015459743,0.186353055,0.922942252
0,0.531666577,0.003004769,0.073011458,0.934945331
0,0.531559505,0.006223839,0.119781117,0.937205964
0,0.563627603,0.005984917,0.116999728,0.936964004
0,0.538305048,0.012585378,0.171690298,0.937102929
0,0.548369827,0.003343091,0.079057956,0.95103887
0,0.520691686,0.006470057,0.122592738,0.932788256
0,0.676106858,0.004760211,0.101188137,0.967116609
1,0.513464318,0.017381154,0.194394897,0.926169248
0,0.504523797,0.009653562,0.152099646,0.927159854
0,0.648375181,0.009566018,0.151404299,0.956601884
0,0.5452112,0.006417166,0.121988088,0.932699024
0,0.551903207,0.004955362,0.103878828,0.941567277
0,0.516141121,0.002445764,0.062278925,0.934160567
0,0.508324857,0.012620031,0.171871693,0.931735021
1,0.525724075,0.007940981,0.137588052,0.937340774
0,0.498206542,0.006268523,0.120295069,0.925292083
0,0.556507308,0.002775878,0.068748677,0.946281823
0,0.633010332,0.008825541,0.145418266,0.955385046
0,0.550082981,0.003449785,0.080902137,0.939647468
0,0.556400236,0.009269645,0.149076397,0.940233633
0,0.544086943,0.00152655,0.042174321,0.931896501
1,0.538786873,0.02011782,0.20403906,0.93141028
0,0.542213181,0.016254024,0.189829791,0.936120425
0,0.518978532,0.008033084,0.138434562,0.926187106
0,0.527383693,0.001183669,0.033769689,0.938561933
0,0.529043311,0.008053147,0.138615957,0.923665978
1,0.564966005,0.008437064,0.14206246,0.935399654
0,0.592965362,0.00350906,0.08189981,0.956448902
0,0.669307779,0.005259942,0.107960214,0.962051251
0,0.509020826,0.012988446,0.173957735,0.931792235
0,0.551474918,0.032808981,0.232366901,0.94022952
0,0.536645431,0.009313417,0.149439187,0.93900422
1,0.510305691,0.018807394,0.19965535,0.930044598
0,0.63290326,0.00124568,0.035341778,0.955105646
0,0.526848332,0.014453898,0.181636787,0.933174601
0,0.559398255,0.00672813,0.12540436,0.938299234
0,0.445205846,0.029849807,0.227408773,0.907035817
0,0.525991755,0.015399557,0.186080963,0.932117065
0,0.565073077,0.004679962,0.100039302,0.937895835
0,0.527544301,0.003187153,0.076306799,0.93808039
0,0.521334119,0.00315706,0.075762615,0.932920638
0,0.540607099,0.006431757,0.122139251,0.938474085
0,0.578885379,0.008656836,0.14399734,0.929661078
0,0.536270678,0.003929454,0.088792817,0.935713009
0,0.568445848,0.011114455,0.162560087,0.94219898
0,0.523207881,0.018853902,0.199836745,0.928840251
0,0.50923497,0.011779243,0.166822868,0.930315963
0,0.594410836,0.000834405,0.024639478,0.952522689
0,0.530702928,0.002872541,0.070562627,0.939503381
0,0.585630922,0.002912666,0.071318439,0.953052207
0,0.547352642,0.003372272,0.079571908,0.936727942
0,0.553830505,0.014886147,0.183692596,0.934746642
1,0.529632207,0.002629059,0.065906823,0.932301129
0,0.509342042,0.015531785,0.186685612,0.928766071
0,0.548102147,0.005956647,0.116667171,0.952918632
0,0.549975909,0.008115157,0.139190374,0.935420859
0,0.531077681,0.00179739,0.048462678,0.950201716
0,0.549172868,0.002000748,0.052967319,0.939556717
0,0.59259061,0.004351672,0.095292802,0.968078011
0,0.546442529,0.007632752,0.134655501,0.940236031
0,0.594999732,0.001491898,0.041358043,0.965657035
1,0.504684405,0.016595993,0.191250718,0.921548329
0,0.527330157,0.012787824,0.172839133,0.933022163
0,0.600085658,0.00881551,0.145327569,0.947294174
0,0.511055196,0.012756819,0.172657738,0.930241825
0,0.642914503,0.004832253,0.102185809,0.952830225
0,0.581294502,0.00804038,0.138495027,0.940633573
0,0.588521869,0.014962748,0.184055386,0.940443829
0,0.516890626,0.000913742,0.026785984,0.932367361
0,0.558541678,0.00690413,0.127278774,0.937441853
0,0.58552385,0.001328664,0.037397587,0.958481488
0,0.663525885,0.001655131,0.045197569,0.961051679
0,0.545104128,0.001781887,0.048099888,0.936018011
0,0.519995717,0.021441013,0.208090214,0.936695887
0,0.664489534,0.005140481,0.106388125,0.952116265
0,0.534396916,0.00120282,0.034253409,0.944624792
0,0.51126934,0.000248042,0.007769749,0.931721773
0,0.534664597,0.008393292,0.14169967,0.932498301
0,0.535895926,0.017978461,0.196662333,0.939490544
0,0.564109428,0.000946571,0.027662726,0.950731349
0,0.593554259,0.002364603,0.060616138,0.949710396
0,0.521494727,0.004161081,0.092390483,0.930268388
0,0.624444563,0.003499941,0.081748647,0.952218451
0,0.694255581,0.009002453,0.146899658,0.955166162
0,0.700037475,0.006090699,0.11823926,0.963406937
0,0.629744633,0.001330488,0.037458052,0.9688287
0,0.521548263,0.026286032,0.220334371,0.936820235
0,0.537073719,0.010063014,0.15518336,0.937494969
0,0.53027464,0.001589473,0.043685945,0.940707546
0,0.567589271,0.007519675,0.133536899,0.944465725
1,0.431821832,0.011361585,0.164192641,0.909487104
0,0.578403555,0.00785982,0.136802007,0.938336822
0,0.557310349,0.008467157,0.142334553,0.939803632
0,0.53937577,0.001165431,0.033316202,0.945326896
0,0.527651373,0.011064299,0.16222753,0.940477781
1,0.554312329,0.021229448,0.207485564,0.934738873
0,0.607848386,0.00145998,0.040602231,0.951354059
0,0.717169013,0.000319171,0.009916256,0.977504516
0,0.531291825,0.011856756,0.167306588,0.935426362
0,0.573157021,0.002357308,0.060495208,0.954219036
0,0.549440548,0.010634786,0.159294978,0.934908129
0,0.542480861,0.010759719,0.160171721,0.937175446
0,0.542213181,0.006791052,0.126099707,0.936062849
0,0.591519889,0.007367384,0.132055507,0.943044876
0,0.603404893,0.008624919,0.143725247,0.946814486
0,0.547995075,0.001468188,0.040783626,0.942137873
0,0.404090155,0.008370494,0.141488043,0.90110562
0,0.580009636,0.002227815,0.057804517,0.940450617
0,0.53557471,0.017745921,0.195815824,0.941691237
0,0.451469565,0.047569283,0.249387792,0.926302143
0,0.579634884,0.019570669,0.202255344,0.949915239
0,0.589217838,0.005275445,0.108171841,0.943009284
0,0.563413459,0.004626159,0.09928349,0.948867429
0,0.539804058,0.0192287,0.201106509,0.939119704
0,0.633010332,0.006522948,0.123167155,0.94581432
0,0.550993094,0.006695301,0.125071802,0.940582116
0,0.595588629,0.004375382,0.095625359,0.943154118
0,0.540446491,0.017036449,0.193034435,0.938561233
0,0.617538412,0.004334346,0.095020709,0.959907566
0,0.651962096,0.001160871,0.033195272,0.966551798
0,0.538305048,0.006434492,0.122169483,0.948075174
0,0.54167782,0.008384173,0.141608973,0.935612599
0,0.542266717,0.01168258,0.166218218,0.93737316
0,0.436158253,0.024441222,0.216101823,0.911441408
0,0.610043364,0.003702386,0.085134686,0.952941013
0,0.525188715,0.000412187,0.012697645,0.932057647
0,0.562610418,0.001501929,0.041599903,0.939748018
0,0.602869533,0.000966633,0.028176679,0.965068041
0,0.575726752,0.002880749,0.070713789,0.941388769
0,0.520852294,0.00983777,0.153520573,0.93566077
0,0.561860913,0.00727984,0.131178765,0.938702977
0,0.575566144,0.007420276,0.132569459,0.943416793
0,0.607313025,0.005402201,0.109804396,0.946701629
0,0.542320253,0.005866368,0.115578801,0.934358588
0,0.562503346,0.017099372,0.193306527,0.938847002
0,0.607741314,0.008027613,0.138374097,0.943680231
0,0.58932491,0.000791545,0.023460411,0.951355539
0,0.58932491,0.024115668,0.215285546,0.946496056
0,0.619519246,0.007780483,0.136076428,0.943152991
0,0.55158199,0.004011527,0.090092814,0.939859952
1,0.22142513,0.021101779,0.525410406,0.777636588
1,0.456073666,0.032388586,0.231701787,0.910702375
0,0.650141871,0.003629433,0.083925386,0.970572109
0,0.580544997,0.005155984,0.106599752,0.940123541
0,0.585898603,0.001946033,0.051758019,0.970276189
0,0.547888003,0.006474617,0.122622971,0.935244061
0,0.510198619,0.007408421,0.132448529,0.934445566
0,0.527116013,0.006481,0.122713668,0.934344357
0,0.695379838,0.001299483,0.036672008,0.962330656
0,0.544140479,0.005688544,0.113402062,0.938421642
0,0.522511912,0.008214556,0.140097349,0.936151397
0,0.610150436,0.008301188,0.140883393,0.952885208
